"POINT (126.9750159 37.5703416)",점 1,
"POINT (126.9749998 37.5704946)",점 2,
"POINT (126.974973 37.5706349)",점 3,
"POINT (126.9749622 37.5707965)",점 4,
"POINT (126.9749462 37.5709538)",점 5,
"POINT (126.9749354 37.5711026)",점 6,
"POINT (126.9749193 37.5712515)",점 7,
"POINT (126.9749032 37.5714045)",점 8,
"POINT (126.9748764 37.5715491)",점 9,
"POINT (126.9748657 37.5716979)",점 10,
"POINT (126.9748389 37.571834)",점 11,
"POINT (126.9748174 37.571987)",점 12,
"POINT (126.974796 37.5721443)",점 13,
"POINT (126.9747691 37.5722974)",점 14,
"POINT (126.9747423 37.572425)",점 15,
"POINT (126.9747209 37.5725738)",점 16,
"POINT (126.9746994 37.5727056)",점 17,
"POINT (126.9746779 37.5728416)",점 18,
"POINT (126.9746672 37.5729649)",점 19,
"POINT (126.9746543 37.5731005)",점 20,
"POINT (126.9746275 37.5732281)",점 21,
"POINT (126.9746275 37.5733599)",점 22,
"POINT (126.9746006 37.5734874)",점 23,
"POINT (126.9745685 37.5736107)",점 24,
"POINT (126.9745792 37.573734)",점 25,
"POINT (126.9745524 37.5738743)",점 26,
"POINT (126.9745309 37.5740019)",점 27,
"POINT (126.9744236 37.5740401)",점 28,
"POINT (126.9744129 37.5739764)",점 29,
"POINT (126.9744129 37.5739764)",점 30,
"POINT (126.9744129 37.5739211)",점 31,
"POINT (126.9744183 37.5738743)",점 32,
"POINT (126.9744183 37.573802)",점 33,
"POINT (126.9744344 37.5737383)",점 34,
"POINT (126.9744504 37.5736575)",점 35,
"POINT (126.9744558 37.5736107)",점 36,
"POINT (126.9744612 37.5734959)",점 37,
"POINT (126.9744665 37.5734194)",점 38,
"POINT (126.974488 37.5732918)",점 39,
"POINT (126.9745148 37.5732068)",점 40,
"POINT (126.9745148 37.573092)",점 41,
"POINT (126.9745416 37.5730027)",점 42,
"POINT (126.974547 37.5729007)",점 43,
"POINT (126.9745631 37.5728029)",점 44,
"POINT (126.9745846 37.5727349)",점 45,
"POINT (126.9745953 37.5726031)",점 46,
"POINT (126.9746275 37.572484)",점 47,
"POINT (126.9746382 37.572365)",점 48,
"POINT (126.9746758 37.5722289)",점 49,
"POINT (126.974665 37.5721439)",점 50,
"POINT (126.9746918 37.5720461)",점 51,
"POINT (126.9746972 37.5719398)",점 52,
"POINT (126.9747294 37.5718335)",점 53,
"POINT (126.9747348 37.5717314)",점 54,
"POINT (126.9747562 37.5716294)",점 55,
"POINT (126.9747777 37.5715401)",점 56,
"POINT (126.9747777 37.5714423)",점 57,
"POINT (126.9747991 37.5713148)",점 58,
"POINT (126.974783 37.5712212)",점 59,
"POINT (126.9748045 37.5711362)",점 60,
